study	sample	experiment	run	organism	instrument.platform	instrument.model	library.name	library.layout	library.source	library.selection	run.read.count	run.base.count	file.name	file.size	md5	fasp
ERP000101	ERS003653	ERX002685	ERR009112	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12892	PAIRED	NON GENOMIC	cDNA	5209801	375105672	ERR009112_1.fastq.gz	192Mb	85901fdb65144996578eddb0bfbac5e8	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009112/ERR009112_1.fastq.gz
ERP000101	ERS003653	ERX002685	ERR009112	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12892	PAIRED	NON GENOMIC	cDNA	5209801	375105672	ERR009112_2.fastq.gz	198Mb	150e0e5ae74f4bfa850c6e4484fb6ffb	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009112/ERR009112_2.fastq.gz
ERP000101	ERS003653	ERX002700	ERR009153	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12892	PAIRED	NON GENOMIC	cDNA	4565552	328719744	ERR009153_1.fastq.gz	173Mb	7ff73a40cb28a1d50b019eee4f3957ed	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009153/ERR009153_1.fastq.gz
ERP000101	ERS003653	ERX002700	ERR009153	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12892	PAIRED	NON GENOMIC	cDNA	4565552	328719744	ERR009153_2.fastq.gz	178Mb	ff5edc8c4cbd4fe19e20263d93e3c674	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009153/ERR009153_2.fastq.gz
ERP000101	ERS003653	ERX002702	ERR009101	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12892	PAIRED	NON GENOMIC	cDNA	5180913	373025736	ERR009101_1.fastq.gz	190Mb	7c76d7adfd94849508656d48bca69820	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009101/ERR009101_1.fastq.gz
ERP000101	ERS003653	ERX002702	ERR009101	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12892	PAIRED	NON GENOMIC	cDNA	5180913	373025736	ERR009101_2.fastq.gz	195Mb	cafa097e4e154b48f4d9c650df8f74ca	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009101/ERR009101_2.fastq.gz
ERP000101	ERS003653	ERX002651	ERR009116	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12892	PAIRED	NON GENOMIC	cDNA	5281976	380302272	ERR009116_1.fastq.gz	194Mb	9927715a616c5efc88fd0c1ec34cce7f	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009116/ERR009116_1.fastq.gz
ERP000101	ERS003653	ERX002651	ERR009116	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12892	PAIRED	NON GENOMIC	cDNA	5281976	380302272	ERR009116_2.fastq.gz	199Mb	e9fe1ee4a813a89983615a1a2be4d93d	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009116/ERR009116_2.fastq.gz
ERP000101	ERS003653	ERX002639	ERR009148	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12892	PAIRED	NON GENOMIC	cDNA	5241035	377354520	ERR009148_1.fastq.gz	194Mb	92e409d77c71a292fcd53d2deea914f1	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009148/ERR009148_1.fastq.gz
ERP000101	ERS003653	ERX002639	ERR009148	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12892	PAIRED	NON GENOMIC	cDNA	5241035	377354520	ERR009148_2.fastq.gz	198Mb	71edafdc7aeba4a19325868a790d06fd	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009148/ERR009148_2.fastq.gz
ERP000101	ERS003658	ERX002650	ERR009108	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA11995	PAIRED	NON GENOMIC	cDNA	10610164	785152136	ERR009108_1.fastq.gz	347Mb	e1c416e00558e4ac17b7d67c4ddd1c45	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009108/ERR009108_1.fastq.gz
ERP000101	ERS003658	ERX002650	ERR009108	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA11995	PAIRED	NON GENOMIC	cDNA	10610164	785152136	ERR009108_2.fastq.gz	384Mb	e2a08bb0d1852e713e73ea4ecb0bae5c	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009108/ERR009108_2.fastq.gz
